Subject,Object,Listed,Interview,Family,Romance,Kill,Arrest,Frame,Friends,Works for,Other,Other_what
Lee Banks,Lisa McQueen,,,,,,,,,1,,
Steve Arnott,Lisa McQueen,,,,,,1,,,,,
Steve Arnott,Lisa McQueen,,,,,,1,,,,,
Tommy Hunter,Wesley Duke,,,,,1,,,,,,
Andrea Wise,Philip Osborne,,,,,,,,,,,
Philip Osborne,Lawrence Christopher,,,,,,,,,,1,Worked on the murder of
Philip Osborne,Matthew Cottan,,,,,,,,1,,,
Philip Osborne,Derek Hilton,,,,,,,,1,,,
Anthony Gates,Tommy Hunter,,,,,,1,,,,,
Anthony Gates,Jackie Laverty,,,,1,,,,,,,
Miroslav Minkowicz,Jackie Laverty,,,,,1,,,,,,
Jackie Laverty,Gurjit Patel,,,,,1,,,,,,
Danny Waldron,Tommy Hunter,1,,,,,,,,,,
Danny Waldron,Ronan Murphy,1,,,,,,,,,,
Danny Waldron,Linus Murphy,1,,,,,,,,,,
Danny Waldron,Dale Roach,1,,,,,,,,,,
Danny Waldron,Marcus Thurwell,1,,,,,,,,,,
Danny Waldron,Patrick Fairbank,1,,,,,,,,,,
Hari Bains,Danny Waldron,,,,,1,,,,,,
Danny Waldron,Ronan Murphy,,,,,1,,,,,,
Danny Waldron,Linus Murphy,,,,,1,,,,,,
Matthew Cottan,Tommy Hunter,,,,,,,,,1,,
Jeremy Cole,Matthew Cottan,,,,,,,,,1,,
Manish Prasad,Matthew Cottan,,,,,,,,,1,,
Manish Prasad,Jeremy Cole,,,,,1,,,,,,
Jeremy Cole,Jayne Akers,,,,,1,,,,,,
Darren Hunter,Tommy Hunter,,,1,,,,,,,,
Darren Hunter,Lawrence Christopher,,,,,,,,,,1,Attacked
Jane Cafferty,Matthew Cottan,,,,,,,,,1,,
Matthew Cottan,Steve Arnott,,,,,,,1,,,,
Matthew Cottan,Lindsay Denton,,,,,,,1,,,,
Matthew Cottan,Lindsay Denton,,,,,1,,,,,,
Lindsay Denton,Mike Dryden,,,,1,,,,,,,
Lindsay Denton,Steve Arnott,,,,1,,,,,,,
Lindsay Denton,Matthew Cottan,,,,1,,,,,,,
Terry Boyle,Jackie Laverty,,,,,,,,,,1,Had in his fridge the body of
Ted Hastings,Patrick Fairbank,,,,,,1,,,,,
Ted Hastings,Gill Biggeloe,,,,1,,,,,,,
Kate Fleming,Ted Hastings,,,,,,,,,1,,
Steve Arnott,Ted Hastings,,,,,,,,,1,,
Patricia Carmichael,Ted Hastings,,,,,,1,,,,,
Ted Hastings,Ian Buckells,,,,,,,,,,,
Ted Hastings,Robert Denmoor,,,,,1,,,,,,
Gail Vella,Gill Biggeloe,,1,,,,,,,,,
Gail Vella,Manish Prasad,,1,,,,,,,,,
Gail Vella,Hari Bains,,1,,,,,,,,,
Gail Vella,Patrick Fairbank,,1,,,,,,,,,
Gail Vella,Roz Huntley,,1,,,,,,,,,
Gail Vella,Lee Banks,,1,,,,,,,,,
Ryan Pilkington,Lisa Patel,,,,,1,,,,,,
Ryan Pilkington,John Corbett,,,,,1,,,,,,
Jo Davidson,Ryan Pilkington,,,,,,,,,1,,
Ryan Pilkington,Ian Buckells,,,,,,,,,1,,
Gail Vella,Lawrence Christopher,,,,,,,,,,1,Investigated the death of
Gail Vella,Patrick Fairbank,,,,,,,,,,,Reported the arrest of
Ted Hastings,Stephanie Corbett,,,,,,,,,,1,Gave £50k to
Jo Davidson,Farida Jatri,,,,,,,,,,,
Jo Davidson,Farida Jatri,,,,1,,,1,,,,
Jo Davidson,Ian Buckells,,,,,,,,,1,,
Ted Hastings,Farida Jatri,,,,,,1,,,,,
Jo Davidson,Tommy Hunter,,,1,,,,,,,,
Roz Huntley,Tim Ifield,,,,,,,,,,,
Roz Huntley,Tim Ifield,,,,,1,,1,,,,
Roz Huntley,Nick Huntley,,,,1,,,,,,,
Nick Huntley,Jimmy Lakewell,,,,,,,,1,,,
Roz Huntley,Derek Hilton,,,,,,,,,1,,
Patricia Carmichael,Andrea Wise,,,,,,,,,1,,
Andrea Wise,Rohan Sindwhani,,,,,,,,,1,,
Lee Banks,Jimmy Lakewell,,,,,1,,,,,,
Lee Banks,John Corbett,,,,,,,,,1,,
Lee Banks,Maneet Bindra,,,,,1,,,,,,
Ted Hastings,Lee Banks,,,,,,,,,,1,Shared information about John Corbett with
Lee Banks,Carl Banks,,,1,,,,,,,,
Carl Banks,Alastair Oldroyd,,,,,1,,,,,,
Carl Banks,Alastair Oldroyd,,,,,,,,,,1,Shared information that he had murdered Gail Vella with
John Corbett,Stephanie Corbett,,,,1,,,,,,,